,Crime ID,Month,LSOA code,Crime type,Ward
2321,6984249cff67c244a20046bc46482111ef895afc0a2f2d768e7d04627920d472,2012-12,E01000118,Burglary,Brunswick Park
2322,2a0eaece268564fe59427977aa6063f2748746b704dbf0099d04acaf17aee4bb,2012-12,E01000118,Burglary,Brunswick Park
2323,a945404ceec809ce3479a243c8ceb8884b99a4d6692a82d846c0995df21aaac6,2012-12,E01000118,Burglary,Brunswick Park
2358,629d41be285f9095699e6cc1cf104d291a97b9c64975f31432a6e322379f04a8,2012-12,E01000265,Burglary,Oakleigh
2365,ef9302d03a56258d8db788859db60b9c68cbf7fb296fd9e0abe1a5748e0f078d,2012-12,E01000266,Burglary,Oakleigh
2378,ec19e804f40a596ae2672da2c34d9d3f65373b63e95ff591b96c8b12ce251c83,2012-12,E01000274,Burglary,Oakleigh
2379,85f853076130a060d2ccdfad05700114ef7d7d77e37568f4eee7ef6729b36662,2012-12,E01000274,Burglary,Oakleigh
2380,85f853076130a060d2ccdfad05700114ef7d7d77e37568f4eee7ef6729b36662,2012-12,E01000274,Burglary,Oakleigh
2381,b692bc9e023452df4913675ab4656a6d460fb7a075d5cfe422a87900db783f04,2012-12,E01000274,Burglary,Oakleigh
2382,85f853076130a060d2ccdfad05700114ef7d7d77e37568f4eee7ef6729b36662,2012-12,E01000274,Burglary,Oakleigh
2388,33444d277859036cd7927067a110b025e4281607adcc1cf07f25d0c24e73189f,2012-12,E01000320,Burglary,Woodhouse
2398,33630591cf105b0fe4c211e77bfe6fb8bc705e47d02aeb39ad8c81445c89773b,2012-12,E01000322,Burglary,Woodhouse
2399,50fb0ae383fcbed85f7c39f8ebf771ead8af09ba9ba40003e54af85b08c77ef6,2012-12,E01000322,Burglary,Woodhouse
2400,b043c71b0118fda9bb5ecf053eb6d50eb0efb3781034bec7fb2cfaf5c53fe3ef,2012-12,E01000322,Burglary,Woodhouse
2429,eb7b83dd0be8cec2f49740ac2b367bd7e353ec83b486c84476acc0dfe2d492a1,2012-12,E01000284,Burglary,Totteridge
2430,c6153814ffbf67928ff864962b0d227afcc21c4d9fafce20463576b22fb76b00,2012-12,E01000284,Burglary,Totteridge
2436,1277839a104e208f76a01d75ede2bd67bb8adc9cf0429a7c93001ad9f9458df8,2012-12,E01000321,Burglary,Woodhouse
2437,b1de526d621ae1f801a18553f4df9b1f527be36db432673c8fa3bce08bda5bd4,2012-12,E01000321,Burglary,Woodhouse
2466,c074fbb7d8a152099368ab301b542f2b13a24defdcbd4c24dae489c64b7c01e5,2012-12,E01000230,Burglary,Hale
2477,5bb5f74d3752c3406ef2ebac147a7c859538ca4a4af843350ba3e53981e75ffd,2012-12,E01000231,Burglary,Hale
2478,51776d71aa29e2383c74fb1bbfafb8d0b3c80d62538f97782c5fe47d52f2972d,2012-12,E01000231,Burglary,Hale
2479,9887088f71e606102eccf13c19a88779c4f2889a463a26cbc9cd020dbc4d8f7d,2012-12,E01000231,Burglary,Hale
2480,b0ec327a01cf09454eceac3e0f67d762c86835aed22a631545becc6bf3dfeb84,2012-12,E01000231,Burglary,Hale
2497,82b2ca0f9d573c92ad77e26f2bf33a9ac2acb96ee5ff382acf3c59dc4550cd96,2012-12,E01000232,Burglary,Hale
2500,ec333727c0596aa6665f92eebda3ccb1b1f367a3b4d7bd809e59434b388f4104,2012-12,E01000233,Burglary,Hale
2501,cb42b4f2f599d25558110b3b0de6501863bd377a1ae6dbe9911e14a6e1ee5c35,2012-12,E01000233,Burglary,Hale
2502,5dec87cf8192c2ab2065073eede251c464fd4fc11b69132faedda1f95ec36610,2012-12,E01000233,Burglary,Hale
2503,d5f6ce167396e53edc9b04e120f46ececd1940e5f2ccddd6074b7197bd1c9605,2012-12,E01000233,Burglary,Hale
2504,87cdc29dfccbdbfe054013cb79d19b747d8fdc3b1fb65f5ad4318cb6da46eaa4,2012-12,E01000233,Burglary,Hale
2511,7b977bd8644cdc71190c807d2dba3b75641cf0ad16e0c14883f554ffe42d8ba4,2012-12,E01000186,Burglary,Edgware
2512,e9b84b581792ca1ad56fe6296f9d2c24a4f42504541ded8795a810c825224ee4,2012-12,E01000186,Burglary,Edgware
2514,e69dca9630e9adbbfc717a92287109689955fc1798f1cd359dcc1ebe605d7a5f,2012-12,E01000187,Burglary,Edgware
2526,97a32bd2cd1e3c4365cdea9d77022230279e71bd43402165750ea13347bbc744,2012-12,E01000189,Burglary,Edgware
2527,c848b5b4706967454233e085d1a621efc83d55bd406c8653ed5591e056feb607,2012-12,E01000189,Burglary,Edgware
2528,b6687206b5bd7b1e2b1ad74667427f4984a8de676cfaad261616b19c093f5f06,2012-12,E01000189,Burglary,Edgware
2529,345d97ce9f3171d44259489140d9c39a1bbdb0637bec06ca5ebfff45ceecf8fc,2012-12,E01000189,Burglary,Edgware
2553,a9956094720a19e61951035e6ac2d80a5c4d99d12666267e4154d36e4b5183cf,2012-12,E01000190,Burglary,Edgware
2564,3005440a1d1b19687989fddc225a0f5c0d9504b5cb62e46356275260e0792844,2012-12,E01000191,Burglary,Edgware
2565,ca4ad7b5fa357784d59ae3f61f36a1d5a73a320ea40829f2df7903a7d5cd78ad,2012-12,E01000191,Burglary,Edgware
2576,3c9b2c06534fb0b99a0424c67ac97468ddd62defeb5ca4e588dbb435df49562e,2012-12,E01000158,Burglary,Coppetts
2577,9e4aa385c12e2498e2c420cf123e03cf03d7dceab6be63a0cf9afa56dfff23f8,2012-12,E01000158,Burglary,Coppetts
2578,17c7cf28181a7b2ae9d1778aaac71fbb9b282ed41f4ddb0119eb681b41797bdf,2012-12,E01000158,Burglary,Coppetts
2587,bcf9a13a00ae29be26cfab89a138f89d6d739cebe003c40ca47e566b3844cd4c,2012-12,E01000159,Burglary,Coppetts
2595,b005c00ea4e877e5b8f02d0fedc885d40ab37ef27e64c357fb1938fc8ddf4238,2012-12,E01000160,Burglary,Coppetts
2617,161d6ad986e8276a751fa8a7e0c95c944835f6dd9387927a5d320919a51fd4d9,2012-12,E01000161,Burglary,Coppetts
2618,3d43fade58534aaf7954ea73f36f86c346ad5f31ccafeeb32b47122bd705844f,2012-12,E01000161,Burglary,Coppetts
2632,de7e6e8b01f66501d2f1f5042b218be269f22a71e82ccbadf9ef64b374507fab,2012-12,E01000162,Burglary,Coppetts
2654,fa6c089c560214bc3a6e3d4d0a336419a5637561c423610f1098a6361b7e91fb,2012-12,E01000258,Burglary,Mill Hill
2671,a113b7867b835c30e8318b9e1d02ce2e59ab85b3567ac310f60adba7d9e92e66,2012-12,E01000263,Burglary,Mill Hill
2672,36a0f3155389cd683db9950aa82b0c0385a10deddc8313c08971b1dea599a842,2012-12,E01000263,Burglary,Mill Hill
2673,383a6ec459425c7dc01a81928d8e0fc10fbcdb503d416a45f5293c79b3d8f4e9,2012-12,E01000263,Burglary,Mill Hill
2674,9d12707073dd92b539499ea1d273cebc9231c78e0e75620c66235b2f8d99af04,2012-12,E01000263,Burglary,Mill Hill
2675,eeb06148bba8ef0d5dac22be3eabeb04b58769de5a288cfa0dc5fb48427001ba,2012-12,E01000263,Burglary,Mill Hill
2682,379faed1e691efe67d29b509464edd4203e46f89b6455dee05787b50e28ae4aa,2012-12,E01000264,Burglary,Mill Hill
2683,fd1dd3297fc5da791c17ec95be91a9a3ef77dd9222c2b9dbfed6b5748b7eed05,2012-12,E01000264,Burglary,Mill Hill
2684,99ee4f834f045a40d228f1818d8d4ccacf8054afad26c66eebb2877b60652ff9,2012-12,E01000264,Burglary,Mill Hill
2685,b344facc970b24d2170d79e72fe3c1040e12e054e8100b625ff1a27bfe4d491c,2012-12,E01000264,Burglary,Mill Hill
2703,3d72b196e91c48b372128c722e6f4093832c7048f58b84ff4575ded3e01d65fa,2012-12,E01000255,Burglary,Mill Hill
2736,e76d355e7b75eef25622c4299199931e42c79695ac42d84ab41bdaf29d9e40f2,2012-12,E01000257,Burglary,Mill Hill
2737,d880fc435f64f951f090b67f084ecadb3f2730ba10df65fd954a9c19def2b016,2012-12,E01000257,Burglary,Mill Hill
2751,b2e9b4f34841213c5ae28d8b8308f80b73ef92801396e3a9de425c0cabe7ac60,2012-12,E01000261,Burglary,Mill Hill
2758,20d1c139172895f7262013644ead68fdee7a26bcdc43fe9735ea4e24350d700f,2012-12,E01000262,Burglary,Mill Hill
2759,21dbe9a84ed3eccac91a586f88a04f042fc2266afc0fb78529c040cdada9bad7,2012-12,E01000262,Burglary,Mill Hill
2760,7c30832c04ec669b17c35c44285c1ac0da22cd4483c7a0d77b3c3577f3a6b90b,2012-12,E01000262,Burglary,Mill Hill
2775,4004f35114b21e9bbabd6a86676c27a02c1f43fcccbe49e787d7bcae6e457d7f,2012-12,E01000192,Burglary,Edgware
2794,c79e7d99e8aa41755b537649098d5fa03532af20b8759cb881e925ed2c8757aa,2012-12,E01000193,Burglary,Edgware
2844,f6ccec62d4e5f4065ae6fb9718770f2f912fbdcc991fa631874c26fa470fd43f,2012-12,E01000194,Burglary,Edgware
2845,ec96d2054eb60522189da85b562bc63f7ac7d07b4d57899528fc0cc06929cc46,2012-12,E01000194,Burglary,Edgware
2846,332bc72ee0e56ec2eddc84cddc630ae17f42712f6a823b171a9529e761f4b31a,2012-12,E01000194,Burglary,Edgware
2861,70cae5ba518c0d45b159941d07da13391a5bd23ee41ee06b15f02d3d3e859fa7,2012-12,E01000226,Burglary,Hale
2864,b707a181005cd4cd78ad430849f215d6684a424d7e4a242f302b00d9fd5acb86,2012-12,E01000227,Burglary,Hale
2883,b917344ef28abed409a9cf99fed98a1d9d57845216e627e2298ec409a1d37548,2012-12,E01000299,Burglary,West Finchley
2884,dca88d0734bc0c381c48614e53da4f519e26829a35e47ed38eb99c355e652e96,2012-12,E01000299,Burglary,West Finchley
2885,6c4d3a11a270ac66dc58deb90f7981baa636b6a4784a4e185964ba11ec1383e3,2012-12,E01000299,Burglary,West Finchley
2886,ee53e9e76b4a10b866ec1fea16486a2e6d5cc3e177ddc8fb032f1dffe38f2773,2012-12,E01000299,Burglary,West Finchley
2887,7f11c8b9d9dc07cb1eddb8fc24aa39bcc6c77ab6338bab576a65af91a3ffc97c,2012-12,E01000299,Burglary,West Finchley
2888,809994396d80ae9f3d45dc352ca6c548a982a030d245da8ac8130156404916b6,2012-12,E01000299,Burglary,West Finchley
2924,24575e116af55d1aedfcb027a07ca7d71f093dbea442c7cb5ca7181eeca5d714,2012-12,E01000300,Burglary,West Finchley
2925,09276ffb10efd1bf460735ce0183658c80c76712e2e31c43563484beb1f64bbf,2012-12,E01000300,Burglary,West Finchley
2926,d7ee1c7ba7c295ef7514e8d0ab28def90cfc6cebeac155fc68250677161372bc,2012-12,E01000300,Burglary,West Finchley
2927,d1f6707e447675146246f91070263279392f2607ec4455368f4c5d295d0c65e2,2012-12,E01000300,Burglary,West Finchley
2928,f784f34c295a784b0ea4ab718ab350adc3c5ff4aeaadd9f7d59a3a600fd24b6d,2012-12,E01000300,Burglary,West Finchley
2933,e5709f5d945f8f5801ad9f3896905d447b95581c75c9d3afe4f49aca57d9e14e,2012-12,E01000302,Burglary,West Finchley
2934,0f1d07f1975ddcd365c94243ccf32930cdbc670310bcb3db92bf56510874c41b,2012-12,E01000302,Burglary,West Finchley
2935,c19eb6952fcdb3a624a7439054bdf67c45f29aad01a5ec3770a2ac737aa2d9e6,2012-12,E01000302,Burglary,West Finchley
2949,937e0a0fe65c9b20910de53b26645e7187f6ca0f2ec62be9f5ca877d8b75633e,2012-12,E01000317,Burglary,Woodhouse
2950,3b79f5fac5bb01c8c9e0cfd06856789286947b6c1c56ef6b197d45f5688c833b,2012-12,E01000317,Burglary,Woodhouse
2970,1d16feb74d020eba3d5768ef8be385fab31e09828f11901d6b957486f5cc46e4,2012-12,E01000323,Burglary,Woodhouse
2971,6a8e4a7c6048fd040518e9b51532fc5b47688f140ca46cae32583d8232f739d5,2012-12,E01000323,Burglary,Woodhouse
2972,cd62b88ebba0d5b31526a3b4523f781d11d01cb5ac4c46457dba49d86ac45ed8,2012-12,E01000323,Burglary,Woodhouse
2973,ffcf9701d48e24724243279dc4975244ce6703e8b6580fa50c75aaacbc3eb1d1,2012-12,E01000323,Burglary,Woodhouse
2974,6b6942c67f6c345d09170e9b0e7dc37c8516802d69573f770f0e2f783ad9e49b,2012-12,E01000323,Burglary,Woodhouse
2997,be59689283152ae4faf92af458167a4eec1a623a7f485be8a986af6571bc0e1f,2012-12,E01000276,Burglary,Totteridge
2998,6ca85c996bb8f72fb09ff8b39e9f10f92c842d0c53ecf0a695b40872a9d2db37,2012-12,E01000276,Burglary,Totteridge
3006,2e60003120d07595bb9be5af0502f9bb6b536469d86d563223e53baa57a8f8fc,2012-12,E01000278,Burglary,Totteridge
3007,ec877a0f85f7f510d54a3691e255e121798bb4be1abbf34421e1f9cda0a1499b,2012-12,E01000278,Burglary,Totteridge
3012,bafd5f21b79ca55b8fc3aa28c38c1c6d3a1158ec850d46f45b1fd140d4315f1f,2012-12,E01000301,Burglary,West Finchley
3013,964c4ac0dcf0ea9ffb7834e8a9c94203301f2534b504fa07ff701cd7272ca126,2012-12,E01000301,Burglary,West Finchley
3016,a3b1201b22d5a7366cb1f6c327edfbd60204a8bbae26d1c10776d7139ac5c7de,2012-12,E01000303,Burglary,West Finchley
3017,fff035654690bf5d8f16eaa5b862afed0c6bba429357e1a1200f8178cca10c5d,2012-12,E01000303,Burglary,West Finchley
3020,e6f6a3fb55cb3e5736b2acc6efc5f5695d3d307de4b06652b26e1ea73b0602ac,2012-12,E01000304,Burglary,West Finchley
3026,5b267b54a2f7734c20d91e5fbc18b282aab85b9f55594c6be96cbaee96c22b65,2012-12,E01000130,Burglary,Burnt Oak
3027,92d095c8cc7d36001d0ece76c3354a75a1ad6c535b959d1b312964759ef0be0a,2012-12,E01000130,Burglary,Burnt Oak
3037,e6c3f6babe5fae9146f7098b1d55155a00729a9cb16581314b0dfe60dbc910c2,2012-12,E01000133,Burglary,Burnt Oak
3045,a3b31bea17f1a6f5fd55b0281a5b04059e55d06cd79216b93607af600f4df934,2012-12,E01000234,Burglary,Hale
3046,1e7051064c4a246916ffbe6629ae03cb0f3e3d29215aace3c15f2a54af29184a,2012-12,E01000234,Burglary,Hale
3047,ec311cd653032c61c97687eaaa2d18d60bf53cff104e75dda4fd881e2a41659b,2012-12,E01000234,Burglary,Hale
3074,3e6beed03575eed1ad1d35be0f8a60c8a4b8f6d3f31fc22d966fe651b30e2530,2012-12,E01000156,Burglary,Coppetts
3075,a0b7804bbf4d4e5202c6c95c80134701d62df9e5dc3d03719000c642170effa6,2012-12,E01000156,Burglary,Coppetts
3076,b56af275c51a3c29342fb5e2c5a3baabcee8d91c489e57daf4450a9c31e855c2,2012-12,E01000156,Burglary,Coppetts
3077,eeb612e3ac8ccae136d24642aa96b607d911aeab3c2d69ef9fd46f0e026ef659,2012-12,E01000156,Burglary,Coppetts
3078,53d9f13df251aab58e6cccf07e7abd9c36cced347eaa643616840131427f98fd,2012-12,E01000156,Burglary,Coppetts
3103,9a7ba3a2c42c503416295a397b97be35709a9a091a8888f00523e3bc1e521122,2012-12,E01000163,Burglary,Coppetts
